enter syscall:12 (RDI: 0, RSI: 139898418273836, RDX: 79, R10: 139898418273836, R8: 139898418306680, R9: 26)
exit syscall:12 (RDI: 0, RSI: 139898418273836, RDX: 79, R10: 139898418273836, R8: 139898418306680, R9: 26) = 94419368607744
enter syscall:158 (RDI: 12289, RSI: 140721255451584, RDX: 139898418234048, R10: 13, R8: 3, R9: 139)
exit syscall:158 (RDI: 12289, RSI: 140721255451584, RDX: 139898418234048, R10: 13, R8: 3, R9: 139) = -22
enter syscall:21 (RDI: 139898418285024, RSI: 4, RDX: 139898418119280, R10: 8, R8: 0, R9: 0)
exit syscall:21 (RDI: 139898418285024, RSI: 4, RDX: 139898418119280, R10: 8, R8: 0, R9: 0) = -2
enter syscall:257 (RDI: 4294967196, RSI: 139898418273152, RDX: 524288, R10: 0, R8: 524288, R9: 139898418273152)
exit syscall:257 (RDI: 4294967196, RSI: 139898418273152, RDX: 524288, R10: 0, R8: 524288, R9: 139898418273152) = 3
enter syscall:5 (RDI: 3, RSI: 140721255448000, RDX: 140721255448000, R10: 0, R8: 1, R9: 139898418273152)
exit syscall:5 (RDI: 3, RSI: 140721255448000, RDX: 140721255448000, R10: 0, R8: 1, R9: 139898418273152) = 0
enter syscall:9 (RDI: 0, RSI: 74232, RDX: 1, R10: 2, R8: 3, R9: 0)
exit syscall:9 (RDI: 0, RSI: 74232, RDX: 1, R10: 2, R8: 3, R9: 0) = 139898418040832
enter syscall:3 (RDI: 3, RSI: 74232, RDX: 1, R10: 2, R8: 3, R9: 0)
exit syscall:3 (RDI: 3, RSI: 74232, RDX: 1, R10: 2, R8: 3, R9: 0) = 0
enter syscall:257 (RDI: 4294967196, RSI: 139898418314768, RDX: 524288, R10: 0, R8: 524288, R9: 139898418314768)
exit syscall:257 (RDI: 4294967196, RSI: 139898418314768, RDX: 524288, R10: 0, R8: 524288, R9: 139898418314768) = 3
enter syscall:0 (RDI: 3, RSI: 140721255448424, RDX: 832, R10: 0, R8: 524288, R9: 139898418314768)
exit syscall:0 (RDI: 3, RSI: 140721255448424, RDX: 832, R10: 0, R8: 524288, R9: 139898418314768) = 832
enter syscall:17 (RDI: 3, RSI: 140721255447424, RDX: 784, R10: 64, R8: 140721255447424, R9: 139898418314768)
exit syscall:17 (RDI: 3, RSI: 140721255447424, RDX: 784, R10: 64, R8: 140721255447424, R9: 139898418314768) = 784
enter syscall:17 (RDI: 3, RSI: 140721255447376, RDX: 32, R10: 848, R8: 140721255447424, R9: 0)
exit syscall:17 (RDI: 3, RSI: 140721255447376, RDX: 32, R10: 848, R8: 140721255447424, R9: 0) = 32
enter syscall:17 (RDI: 3, RSI: 140721255447296, RDX: 68, R10: 880, R8: 140721255447424, R9: 0)
exit syscall:17 (RDI: 3, RSI: 140721255447296, RDX: 68, R10: 880, R8: 140721255447424, R9: 0) = 68
enter syscall:5 (RDI: 3, RSI: 140721255448080, RDX: 140721255448080, R10: 880, R8: 1, R9: 139898418311568)
exit syscall:5 (RDI: 3, RSI: 140721255448080, RDX: 140721255448080, R10: 880, R8: 1, R9: 139898418311568) = 0
enter syscall:9 (RDI: 0, RSI: 8192, RDX: 3, R10: 34, R8: 4294967295, R9: 0)
exit syscall:9 (RDI: 0, RSI: 8192, RDX: 3, R10: 34, R8: 4294967295, R9: 0) = 139898418032640
enter syscall:17 (RDI: 3, RSI: 140721255447136, RDX: 784, R10: 64, R8: 65535, R9: 139898418033792)
exit syscall:17 (RDI: 3, RSI: 140721255447136, RDX: 784, R10: 64, R8: 65535, R9: 139898418033792) = 784
enter syscall:17 (RDI: 3, RSI: 140721255446336, RDX: 32, R10: 848, R8: 3, R9: 848)
exit syscall:17 (RDI: 3, RSI: 140721255446336, RDX: 32, R10: 848, R8: 3, R9: 848) = 32
enter syscall:17 (RDI: 3, RSI: 140721255446304, RDX: 68, R10: 880, R8: 3, R9: 880)
exit syscall:17 (RDI: 3, RSI: 140721255446304, RDX: 68, R10: 880, R8: 3, R9: 880) = 68
enter syscall:9 (RDI: 0, RSI: 2037344, RDX: 1, R10: 2050, R8: 3, R9: 0)
exit syscall:9 (RDI: 0, RSI: 2037344, RDX: 1, R10: 2050, R8: 3, R9: 0) = 139898415992832
enter syscall:9 (RDI: 139898416132096, RSI: 1540096, RDX: 5, R10: 2066, R8: 3, R9: 139264)
