exit syscall:10 (RDI: 140214656446464, RSI: 4096, RDX: 1, R10: 140214656450408, R8: 0, R9: 140214654157520) = 0
enter syscall:11 (RDI: 140214656184320, RSI: 74232, RDX: 115453015883776, R10: 140214656450408, R8: 0, R9: 140214654157520)
exit syscall:11 (RDI: 140214656184320, RSI: 74232, RDX: 115453015883776, R10: 140214656450408, R8: 0, R9: 140214654157520) = 0
enter syscall:12 (RDI: 0, RSI: 135168, RDX: 688, R10: 140214656154592, R8: 140214656154592, R9: 140214654152816)
exit syscall:12 (RDI: 0, RSI: 135168, RDX: 688, R10: 140214656154592, R8: 140214656154592, R9: 140214654152816) = 94420937687040
enter syscall:12 (RDI: 94420937822208, RSI: 135168, RDX: 140214656165408, R10: 140214656154592, R8: 140214656154592, R9: 140214654152816)
exit syscall:12 (RDI: 94420937822208, RSI: 135168, RDX: 140214656165408, R10: 140214656154592, R8: 140214656154592, R9: 140214654152816) = 94420937822208
enter syscall:257 (RDI: 4294967196, RSI: 94420906053638, RDX: 577, R10: 438, R8: 4, R9: 1)
exit syscall:257 (RDI: 4294967196, RSI: 94420906053638, RDX: 577, R10: 438, R8: 4, R9: 1) = 3
enter syscall:5 (RDI: 3, RSI: 140736929874880, RDX: 140736929874880, R10: 438, R8: 1, R9: 1)
exit syscall:5 (RDI: 3, RSI: 140736929874880, RDX: 140736929874880, R10: 438, R8: 1, R9: 1) = 0
enter syscall:1 (RDI: 3, RSI: 140736929875296, RDX: 8192, R10: 438, R8: 8192, R9: 124)
RSC: No such process
